"companyId","companyName","ReviewsCount","AggregateRating"
"645563","Orion","",""
"14072","Apollo Hospitals International Limited, Ahmedabad","5162.0","4.0"
"1324750","TVS Credit Services Ltd","2892.0","4.2"
"123804403","GNR Global Services","",""
"14957","Cadila Pharmaceuticals","2134.0","3.4"
"124725375","Vedaant Techno Art","",""
"30971","Avalon Technologies","571.0","3.7"
"123591869","Balkrishna Industries (BKT)","462.0","4.1"
"24468","Coforge","5904.0","3.2"
"1021754","Knorr Bremse","937.0","3.5"
"6944403","Pacific Development Corporation","185.0","3.5"
"742","Manpowergroup Services India","",""
"481769","Indus Towers","2594.0","3.6"
"125125399","ALP Talent Solutions","",""
"519155","Kamineni Hospitals","223.0","4.1"
"123473819","Cogenthub","384.0","3.4"
"6187488","Bunge","688.0","3.9"
"6549678","TELUS International","1603.0","3.6"
"2892790","Human Before Resource","",""
"1412850","Ang Placement And Staffing Solutions","",""
"124727963","Vedanta Enterprises","",""
"830623","Euronet Services India","166.0","3.7"
"5105204","Tata AIG General Insurance Company ","2949.0","4.1"
"124443920","Caterpillar Inc","1516.0","4.2"
"1227558","Barclays","1143.0","3.9"
"792848","World Bank","101.0","3.9"
"1344828","NOVARTIS","1858.0","4.1"
"1613304","Axis Bank","29961.0","3.7"
"3592136","SBI Card","4799.0","3.7"
"4306438","Idemia Group","",""
"4124664","Bunge","688.0","3.9"
"3153236","Capital One","59.0","3.5"
"1616672","Syngene","2169.0","3.9"
"4993850","Designer People","3.0","3.7"
"1845974","Public Health Foundation Of India","75.0","3.7"
"4075728","Lennox India Technology Centre (LITC)","151.0","3.6"
"2927066","Valeo","1347.0","3.9"
"124862761","VIT","358.0","3.9"
"124708095","Boston Scientific","251.0","3.9"
"7149403","IndiaMART","5482.0","3.6"
"6303124","sun pharma industries","6985.0","4.1"
"3596214","Ixigo","77.0","3.6"
"2523564","Razorpay","622.0","3.5"
"1903222","Boston Scientific","251.0","3.9"
"3075474","ElevenX Capital","7.0","1.4"
"16357","Axis Bank","29961.0","3.7"
"737051","Fino Payments Bank","1250.0","3.8"
"123749379","TeamLease","",""
"1765478","Signals And Systems","119.0","3.9"
"97315","Sun Pharma","6985.0","4.1"
"656375","Zebronics","303.0","3.8"
"3720718","VIT","358.0","3.9"
"51811","Denave","718.0","3.5"
"118571","ICICI Securities","2261.0","3.9"
"18735","IndiaMART","5482.0","3.6"
"34074","Genius Consultants","",""
"984978","White Horse Manpower Consultancy","",""
"2418606","Andritz","506.0","3.8"
"5910836","Hero Housing Finance","",""
"1123","SOBHA","2099.0","3.8"
"2015","FCS Software Solutions","156.0","3.7"
"178486","ORION SYSTEMS","17.0","2.5"
"279215","MakeMyTrip","173.0","4.4"
"1528992","Hester","115.0","3.6"
"31046","Incedo","1230.0","3.0"
"69","AnandRathi","251.0","3.5"
"124695206","Techno India Manufacturing & Engineering Solutions","26.0","4.3"
"20963","3i Infotech","2201.0","3.4"
"3289690","City Montessori School (CMS)","195.0","3.6"
"124295432","Rits Capital","21.0","3.1"
"125105721","Techno Specialist Consulting Engineers (kerala) Pv T Ltd","",""
"124450644","Ciao Green Pvt. Ltd.","19.0","3.0"
"959","Pricol","912.0","3.9"
"5114332","Suresh Surana & Associates","254.0","3.2"
"1128","Artech","",""
"844535","Sundaram Finance (SFL)","997.0","4.0"
"126487","Gmmco","971.0","4.0"
"3503","Prince Pipes & Fittings","638.0","4.2"
"61048","Shyam Steel","886.0","3.5"
"5211844","ICICI Home Finance (ICICI HFC)","1655.0","3.7"
"938550","GSH Group","284.0","4.2"
"1544730","Protiviti India","320.0","2.9"
"257305","Medanta Hospital ","1536.0","3.9"
"123896165","Planet Recruiters","",""
"15989","Tata Consulting Engineers","2004.0","3.8"
"2460746","PNB MetLife","3369.0","3.4"
