"jobId","skill"
"270925006315","Azure"
"260925914626","SQL"
"260925503692","Excel"
"260925503692","Business Analysis"
"260925503508","GCP"
"260925502205","Excel"
"260925502203","Excel"
"260925502136","SQL"
"260925032165","Python"
"260925028577","Machine Learning"
"260925026920","Business Analysis"
"260925022245","Excel"
"260925013549","Azure"
"260925013549","Kafka"
"260925012992","Azure"
"260925012537","KPI"
"260925010708","Excel"
"260925009599","Data Visualization"
"260925009599","Tableau"
"260925009599","SQL"
"250925927597","Snowflake"
"250925927597","Python"
"250925926344","NLP"
"250925926344","Machine Learning"
"250925926344","Deep Learning"
"250925921558","Python"
"250925921558","NLP"
"250925921558","Machine Learning"
"250925921556","SQL"
"250925921556","Power BI"
"250925921547","Azure"
"250925921541","Python"
"250925921541","NLP"
"250925921541","Machine Learning"
"250925921515","Python"
"250925921507","SQL"
"250925921507","Power BI"
"250925921505","SQL"
"250925921505","Power BI"
"250925921158","SQL"
"250925921158","Power BI"
"250925918440","Python"
"250925509337","SQL"
"250925508632","SQL"
"250925501902","GCP"
"250925501169","Excel"
"250925500542","Statistics"
"250925500480","Python"
"250925500480","SQL"
"250925500480","Machine Learning"
"250925035799","Business Analysis"
"250925032891","Excel"
"250925021083","A/B Testing"
"250925017117","Azure"
"250825014189","Excel"
"240925924100","AWS"
"240925924049","AWS"
"240925913658","GCP"
"240925913647","GCP"
"240925913640","Python"
"240925507685","Python"
"240925501760","SQL"
"240925035723","AWS"
"240925035723","SQL"
"240925035707","AWS"
"240925035707","SQL"
"240925026094","Excel"
"240925023773","Excel"
"240925015339","Excel"
"240925012556","Excel"
"230925910270","AWS"
"230925501132","SQL"
"230925500752","Excel"
"230925037553","Python"
"230925023864","Python"
"230925020171","Snowflake"
"230925020171","Kafka"
"230925020171","Python"
"230925020171","Databricks"
"230925018146","SQL"
"230925014226","Excel"
"230925010281","AWS"
"230925010281","SQL"
"230925009381","Azure"
"230925008453","SQL"
"220925004209","GCP"
"220825028287","Business Analysis"
"220825010594","Excel"
"200725003000","Excel"
"170925025278","Excel"
"170925022548","SQL"
"170925022548","Python"
"160925041033","Excel"
"150925009376","GCP"
"120924013514","Power BI"
"110325019235","Excel"
"100225005797","Excel"
"100125912838","ETL"
"80925932530","AWS"
"80925008635","Power BI"
"80925008635","Tableau"
"80925008635","Business Analysis"
"60825018831","Python"
"60825017208","Excel"
"51224019071","Excel"
"50825033048","SQL"
"50825033048","Kafka"
"40925015381","Excel"
"31025918637","SQL"
"31025503424","Machine Learning"
"31025502959","Excel"
"31025502851","Excel"
"31025501143","SQL"
"31025501143","Spark"
"31025019046","Business Analysis"
"31025017987","SQL"
"31025017899","Excel"
"31025016209","Excel"
"31025015741","Excel"
"31025014958","Excel"
"31025013280","Python"
"31025013280","SQL"
"31025012787","Excel"
"31025011937","Excel"
"31025011802","AWS"
"31025009254","Excel"
"31025007528","Excel"
"31025007480","Excel"
"31025007269","SQL"
"31025007126","Excel"
"31025006747","Python"
"31025003099","AWS"
"31025002551","A/B Testing"
"31025002072","AWS"
"30925017511","Azure"
"21025006601","Excel"
"20625006150","AWS"
"11025921838","Excel"
"11025909840","AWS"
"11025503963","Python"
"11025503963","Machine Learning"
"11025503726","SQL"
"11025502055","LLM"
"11025501902","A/B Testing"
"11025501780","Business Analysis"
"11025501780","SQL"
"11025501624","Excel"
"11025500752","Excel"
"11025022832","Excel"
"11025021232","Excel"
"11025016923","Excel"
"11025014220","Excel"
"11025013702","Python"
"11025012817","Machine Learning"
"11025012817","Python"
"11025012726","Excel"
"11025011341","Excel"
"11025011056","Excel"
"11025011039","Machine Learning"
"11025011039","PyTorch"
"11025011039","TensorFlow"
"11025011039","NLP"
"11025011039","Python"
"11025010114","SQL"
"11025009356","Excel"
"230925017943","NLP"
"230925017943","Machine Learning"
"230925000088","Excel"
"250925010736","BigQuery"
"250925010736","Python"
"250925010736","GCP"
"240925035518","Azure"
"240925933431","AWS"
"240925933428","AWS"
"240925933425","AWS"
"240925933423","AWS"
"240925023340","Power BI"
"250925035570","Azure"
"250925035570","Snowflake"
"250925035038","GCP"
"250925035038","Python"
"250925035038","SQL"
"250925035038","Azure"
"250925010784","SQL"
"250925007449","Snowflake"
"250925007449","SQL"
"240925021478","Snowflake"
"240925021478","SQL"
"230925014741","Azure"
"300925030972","AWS"
"300925028296","Databricks"
"300925028296","Spark"
"300925025997","Azure"
"300925025997","Power BI"
"300925024362","SQL"
"300925022665","Spark"
"300925013304","Machine Learning"
"300925013304","Python"
"300925013304","NLP"
"300925012370","SQL"
"300925011957","Python"
"290925917687","Azure"
"290925915390","Python"
"290925915390","AWS"
"290925912359","Azure"
"290925911777","SQL"
"290925903664","SQL"
"290925903664","LLM"
"290925903662","GCP"
"290925903515","Azure"
"290925903515","Python"
"290925903116","Python"
"290925903116","Azure"
"290925903116","AWS"
"290925901631","Azure"
"290925502036","SQL"
"290925502031","SQL"
"290925024359","Spark"
"290925024359","Databricks"
"290925024359","ETL"
"290925024359","Python"
"290925024359","SQL"
"290925024359","Azure"
"290925023269","Business Analysis"
"290925019457","Python"
"290925018540","Machine Learning"
"290925018540","Python"
"290925018540","TensorFlow"
"290925018540","NLP"
"290925018540","Deep Learning"
"290925017920","Snowflake"
"290925017920","ETL"
"290925014836","SQL"
"290925014361","Azure"
"290925014361","Spark"
"290925014361","ETL"
"290925014361","Python"
"290925014361","SQL"
"290925014361","Databricks"
"290925013969","SQL"
"290925013569","SQL"
"290925011964","SQL"
"290925011493","LLM"
"270925005490","Azure"
"270925005490","Databricks"
"270925005490","SQL"
"260925925490","Azure"
"260925925490","SQL"
"260925925489","SQL"
"260925922327","SQL"
"260925921465","Azure"
"260925918020","Azure"
"260925918020","Databricks"
"260925915748","SQL"
"260925915748","ETL"
"260925915748","Python"
"260925914230","Python"
"260925914230","AWS"
"260925911439","Azure"
"260925911439","SQL"
"260925911316","Azure"
"260925909355","Azure"
"260925031595","Machine Learning"
"260925031595","Azure"
"260925031595","Python"
"260925030149","LLM"
"260925028893","AWS"
"260925028893","Spark"
"260925028893","Python"
"260925027081","Python"
"260925025850","Excel"
"260925025850","Tableau"
"260925023116","Power BI"
"260925023116","SQL"
"170925036075","Azure"
"110925020736","Spark"
"110925020736","Databricks"
"110925020736","SQL"
"110925020736","Azure"
"90925011614","Azure"
"31025019897","Python"
"31025019897","NLP"
"31025019897","LLM"
"31025019897","Machine Learning"
"31025004602","Azure"
"11025012763","Python"
"300925503987","SQL"
"300925503987","Python"
"300925029464","GCP"
"300925023589","Business Analysis"
"300925022022","SQL"
"300925022022","ETL"
"300925015421","SQL"
"300925013452","Kafka"
"300925012221","Azure"
"300925012221","Python"
"300925011254","Azure"
"300925011254","SQL"
"300525037508","Power BI"
"290925926656","Azure"
"290925921157","SQL"
"290925921157","Python"
"290925915409","SQL"
"290925915409","Python"
"290925915409","ETL"
"290925915409","Spark"
"290925915408","ETL"
"290925915408","AWS"
"290925913219","Azure"
"290925912944","SQL"
"290925903193","SQL"
"290925903193","BigQuery"
"290925903190","Python"
"290925016363","SQL"
"290925009096","SQL"
"290925008744","SQL"
"290925003438","GCP"
"290925003438","SQL"
"290925003438","Python"
"290925003156","GCP"
"290925003156","Azure"
"290925003156","AWS"
"280925004715","Deep Learning"
"280925004715","Python"
"280925004505","AWS"
"280925004505","LLM"
"280925004505","PyTorch"
"280925004505","Python"
"280925004505","TensorFlow"
"280925003929","AWS"
"280925003929","SQL"
"270925011982","AWS"
"270925010676","SQL"
"260925930378","Azure"
"260925929737","SQL"
"260925928082","AWS"
"260925928045","SQL"
"260925928045","Power BI"
"260925919951","Python"
"260925918523","Spark"
"260925915660","Spark"
"260925915268","SQL"
"260925915268","Spark"
"260925914251","Python"
"260925912754","SQL"
"260925912754","Spark"
"260925912754","Python"
"260925912754","Kafka"
"260925911935","AWS"
"260925911297","Spark"
"260925911297","Python"
"260925910302","Python"
"260925030608","SQL"
"260925030608","GCP"
"260925029469","AWS"
"260925024326","SQL"
"260925023413","Python"
"260925023413","BigQuery"
"260925023413","Snowflake"
"260925023413","Tableau"
"260925023413","SQL"
"260925016316","GCP"
"260925016316","Python"
"260925016316","SQL"
"260925013894","AWS"
"260925013894","Python"
"260925013236","Data Visualization"
"260925012959","Kafka"
"260925012959","ETL"
"260925012959","Python"
"260925012514","Spark"
"260925012514","Python"
"260925012514","SQL"
"260925011482","Python"
"260925011482","Azure"
"180825018480","AWS"
"170925027271","Azure"
"160925041572","SQL"
"160925041572","Python"
"120925027401","Azure"
"120925027401","Spark"
"120925027401","Databricks"
"120825018933","Azure"
"120825018933","Power BI"
"120825018933","Databricks"
"120825018933","Python"
"120825018933","SQL"
"110825902257","Python"
"110825902257","SQL"
"11025024575","LLM"
"11025020316","SQL"
"11025020316","Azure"
"300925028491","LLM"
"300925028472","SQL"
"300925028411","Python"
"300925013860","Python"
"290925502037","SQL"
"290925502033","SQL"
"290925500637","Machine Learning"
"290925500637","Data Visualization"
"290925500635","SQL"
"290925500622","Python"
"290925021209","AWS"
"290925021209","Azure"
"290925021209","GCP"
"290925019789","Python"
"290925018975","Python"
"290925007366","Databricks"
"290925007366","SQL"
"290925007366","Azure"
"290925007197","Databricks"
"290925007197","Spark"
"290925007197","Azure"
"270925012505","Kafka"
"270925004724","SQL"
"270925000026","AWS"
"270925000026","Azure"
"260925912800","Python"
"260925908655","Python"
"260925032365","Azure"
"260925029710","Python"
"250925028971","AWS"
"31025008442","AWS"
"310725018671","Python"
"300925926973","SQL"
"300925926972","Python"
"300925926918","Python"
"300925925332","Python"
"300925925306","Python"
"300925924875","Python"
"300925924186","Python"
"300925923701","SQL"
"300925922321","AWS"
"300925921542","SQL"
"300925917028","KPI"
"300925912904","SQL"
"300925912118","SQL"
"300925911912","SQL"
"300925911912","AWS"
"300925504798","SQL"
"300925504624","Data Visualization"
"300925504433","Excel"
"300925504382","SQL"
"300925504324","GCP"
"300925504279","SQL"
"300925504228","SQL"
"300925504173","Business Analysis"
"300925504144","Excel"
"300925503993","Business Analysis"
"300925503388","AWS"
"300925503387","SQL"
"300925502799","SQL"
"300925502685","Excel"
"300925502621","Machine Learning"
"300925502510","SQL"
"300925500990","Business Analysis"
"300925500931","Excel"
"300925500911","Excel"
"300925500862","SQL"
"300925500813","SQL"
"300925500811","Excel"
"300925500588","Python"
"300925500531","SQL"
"300925500344","Python"
"300925500283","Excel"
"300925500277","SQL"
"300925500276","SQL"
"300925500276","Python"
"300925500275","SQL"
"300925500213","SQL"
"300925030504","Python"
"300925030504","Power BI"
"300925030474","Python"
"300925030474","Azure"
"300925029953","ETL"
"300925029953","Snowflake"
"300925029953","AWS"
"300925029953","Python"
"300925029953","SQL"
"300925029903","Python"
"300925029903","SQL"
"300925029903","Databricks"
"300925029903","AWS"
"300925029840","Azure"
"300925029840","Python"
"300925029840","SQL"
"300925029800","AWS"
"300925029776","Machine Learning"
"300925029776","AWS"
"300925029776","Python"
"300925029620","AWS"
"300925029547","Business Analysis"
"300925028787","Business Analysis"
"300925028787","Python"
"300925028425","Azure"
"300925028308","AWS"
"300925027931","SQL"
"300925026809","Excel"
"300925026809","Power BI"
"300925026133","SQL"
"300925026049","SQL"
"300925024372","Python"
"300925024372","SQL"
"300925023721","Kafka"
"300925023721","AWS"
"300925023721","Python"
"300925023721","NumPy"
"300925023041","ETL"
"300925023041","SQL"
"300925022189","Excel"
"300925020672","GCP"
"300925020672","AWS"
"300925020633","Azure"
"300925020200","Python"
"300925020145","Snowflake"
"300925020145","ETL"
"300925020145","Python"
"300925020145","SQL"
"300925020145","GCP"
"300925020145","BigQuery"
"300925020145","AWS"
"300925019374","Python"
"300925019321","Python"
"300925018933","Excel"
"300925017492","Python"
"300925013089","Azure"
"300925012709","AWS"
"300925012016","Python"
"300925012016","Azure"
"290925920978","Python"
"290925920978","NLP"
"290925920978","Machine Learning"
"290925920978","Deep Learning"
"290925920978","TensorFlow"
"290925917648","Azure"
"290925917293","SQL"
"290925917089","Python"
"290925915457","AWS"
"290925915452","AWS"
"290925915452","Python"
"290925915452","Azure"
"290925915449","Python"
"290925914518","SQL"
"290925914394","SQL"
"290925914394","Python"
"290925913952","SQL"
"290925913952","Azure"
"290925913268","SQL"
"290925912866","Azure"
"290925912813","AWS"
"290925911242","Python"
"290925911230","Python"
"290925909346","SQL"
"290925903266","SQL"
